File L	File R	Perfect Match #	Perfect Match L	Perfect Match R	(L%+R%)/2	Overall Match	cf. Diss Thomas 2021
willisen_humboldt_1827_49.norm.html	nn_n0171w1_1828_49.norm.html	211	10%	18%	14%	"211 (10%) L; 211 (18%) R"	
parthey_msgermqu1711_1828_8.norm.html	nn_msgermqu2124_1827_13.norm.html	302	18%	9%	14%	"302 (18%) L; 302 (9%) R"	
nn_n0171w1_1828_24.norm.html	nn_msgermqu2345_1827_24.norm.html	224	11%	16%	14%	"224 (11%) L; 224 (16%) R"	
nn_n0171w1_1828_46.norm.html	nn_msgermqu2345_1827_46.norm.html	189	11%	15%	13%	"189 (11%) L; 189 (15%) R"	
nn_n0171w1_1828_30.norm.html	nn_msgermqu2345_1827_30.norm.html	162	9%	17%	13%	"162 (9%) L; 162 (17%) R"	
nn_oktavgfeo79_1828_51.norm.html	nn_n0171w1_1828_51.norm.html	204	10%	15%	13%	"204 (10%) L; 204 (15%) R"	
nn_oktavgfeo79_1828_24.norm.html	nn_msgermqu2345_1827_24.norm.html	169	13%	12%	13%	"169 (13%) L; 169 (12%) R"	
nn_n0171w1_1828_29.norm.html	nn_msgermqu2345_1827_29.norm.html	126	10%	15%	13%	"126 (10%) L; 126 (15%) R"	
nn_n0171w1_1828_42.norm.html	nn_msgermqu2345_1827_42.norm.html	191	10%	14%	12%	"191 (10%) L; 191 (14%) R"	
nn_n0171w1_1828_49.norm.html	libelt_hs6623ii_1828_49.norm.html	131	11%	13%	12%	"131 (11%) L; 131 (13%) R"	
nn_n0171w1_1828_10.norm.html	nn_msgermqu2345_1827_10.norm.html	121	8%	16%	12%	"121 (8%) L; 121 (16%) R"	
parthey_msgermqu1711_1828_20.norm.html	nn_msgermqu2124_1827_16.norm.html	265	13%	10%	12%	"265 (13%) L; 265 (10%) R"	
parthey_msgermqu1711_1828_18.norm.html	nn_n0171w1_1828_18.norm.html	183	13%	10%	12%	"183 (13%) L; 183 (10%) R"	
patzig_msgermfol841842_1828_46.norm.html	nn_msgermqu2345_1827_46.norm.html	166	10%	13%	12%	"166 (10%) L; 166 (13%) R"	
nn_n0171w1_1828_47.norm.html	nn_msgermqu2345_1827_47.norm.html	157	8%	15%	12%	"157 (8%) L; 157 (15%) R"	
patzig_msgermfol841842_1828_51.norm.html	nn_n0171w1_1828_51.norm.html	157	11%	12%	12%	"157 (11%) L; 157 (12%) R"	
nn_oktavgfeo79_1828_29.norm.html	nn_msgermqu2345_1827_29.norm.html	129	8%	15%	12%	"129 (8%) L; 129 (15%) R"	
parthey_msgermqu1711_1828_20.norm.html	nn_msgermqu2345_1827_20.norm.html	159	8%	14%	11%	"159 (8%) L; 159 (14%) R"	
parthey_msgermqu1711_1828_18.norm.html	nn_msgermqu2345_1827_18.norm.html	123	8%	14%	11%	"123 (8%) L; 123 (14%) R"	
riess_f2e1853_1828_15.norm.html	nn_msgermqu2345_1827_15.norm.html	113	14%	8%	11%	"113 (14%) L; 113 (8%) R"	
nn_oktavgfeo79_1828_21.norm.html	nn_msgermqu2345_1827_21.norm.html	164	15%	7%	11%	"164 (15%) L; 164 (7%) R"	
nn_oktavgfeo79_1828_22.norm.html	nn_n0171w1_1828_22.norm.html	161	13%	9%	11%	"161 (13%) L; 161 (9%) R"	
parthey_msgermqu1711_1828_49.norm.html	nn_n0171w1_1828_49.norm.html	154	9%	13%	11%	"154 (9%) L; 154 (13%) R"	
nn_n0171w1_1828_31.norm.html	nn_msgermqu2345_1827_31.norm.html	153	9%	13%	11%	"153 (9%) L; 153 (13%) R"	
nn_oktavgfeo79_1828_25.norm.html	nn_n0171w1_1828_25.norm.html	151	12%	10%	11%	"151 (12%) L; 151 (10%) R"	
nn_oktavgfeo79_1828_17.norm.html	nn_n0171w1_1828_17.norm.html	147	11%	11%	11%	"147 (11%) L; 147 (11%) R"	
nn_n0171w1_1828_20.norm.html	nn_msgermqu2345_1827_20.norm.html	141	9%	13%	11%	"141 (9%) L; 141 (13%) R"	
parthey_msgermqu1711_1828_25.norm.html	nn_n0171w1_1828_25.norm.html	186	8%	13%	11%	"186 (8%) L; 186 (13%) R"	
parthey_msgermqu1711_1828_24.norm.html	nn_msgermqu2345_1827_24.norm.html	184	8%	13%	11%	"184 (8%) L; 184 (13%) R"	
nn_oktavgfeo79_1828_30.norm.html	nn_n0171w1_1828_30.norm.html	171	11%	10%	11%	"171 (11%) L; 171 (10%) R"	
parthey_msgermqu1711_1828_16.norm.html	nn_msgermqu2345_1827_16.norm.html	135	7%	14%	11%	"135 (7%) L; 135 (14%) R"	
nn_n0171w1_1828_54.norm.html	nn_msgermqu2345_1827_54.norm.html	128	7%	14%	11%	"128 (7%) L; 128 (14%) R"	
nn_n0171w1_1828_21.norm.html	nn_msgermqu2345_1827_21.norm.html	200	12%	9%	11%	"200 (12%) L; 200 (9%) R"	
nn_n0171w1_1828_13.norm.html	nn_msgermqu2345_1827_13.norm.html	163	9%	12%	11%	"163 (9%) L; 163 (12%) R"	
nn_n0171w1_1828_40.norm.html	nn_msgermqu2345_1827_40.norm.html	113	9%	12%	11%	"113 (9%) L; 113 (12%) R"	
parthey_msgermqu1711_1828_10.norm.html	nn_msgermqu2345_1827_10.norm.html	112	6%	15%	11%	"112 (6%) L; 112 (15%) R"	
parthey_msgermqu1711_1828_23.norm.html	nn_msgermqu2124_1827_15.norm.html	252	11%	9%	10%	"252 (11%) L; 252 (9%) R"	S. 383f. sowie ebd., Anm. 80
nn_oktavgfeo79_1828_52.norm.html	nn_oktavgfeo79_1828_38.norm.html	223	12%	8%	10%	"223 (12%) L; 223 (8%) R"	
parthey_msgermqu1711_1828_42.norm.html	nn_n0171w1_1828_42.norm.html	217	8%	12%	10%	"217 (8%) L; 217 (12%) R"	
parthey_msgermqu1711_1828_46.norm.html	nn_n0171w1_1828_46.norm.html	203	9%	11%	10%	"203 (9%) L; 203 (11%) R"	
nn_oktavgfeo79_1828_47.norm.html	nn_n0171w1_1828_47.norm.html	202	10%	10%	10%	"202 (10%) L; 202 (10%) R"	
patzig_msgermfol841842_1828_21.norm.html	parthey_msgermqu1711_1828_21.norm.html	189	12%	8%	10%	"189 (12%) L; 189 (8%) R"	
nn_n0171w1_1828_25.norm.html	nn_msgermqu2345_1827_25.norm.html	184	12%	8%	10%	"184 (12%) L; 184 (8%) R"	
nn_n0171w1_1828_43.norm.html	nn_msgermqu2345_1827_43.norm.html	177	8%	12%	10%	"177 (8%) L; 177 (12%) R"	
patzig_msgermfol841842_1828_42.norm.html	nn_msgermqu2345_1827_42.norm.html	174	8%	12%	10%	"174 (8%) L; 174 (12%) R"	
parthey_msgermqu1711_1828_46.norm.html	nn_msgermqu2345_1827_46.norm.html	173	7%	13%	10%	"173 (7%) L; 173 (13%) R"	
parthey_msgermqu1711_1828_33.norm.html	nn_msgermqu2345_1827_33.norm.html	158	7%	13%	10%	"158 (7%) L; 158 (13%) R"	
nn_oktavgfeo79_1828_40.norm.html	nn_n0171w1_1828_40.norm.html	156	8%	12%	10%	"156 (8%) L; 156 (12%) R"	
nn_oktavgfeo79_1828_15.norm.html	nn_msgermqu2345_1827_15.norm.html	153	9%	11%	10%	"153 (9%) L; 153 (11%) R"	
nn_n0171w1_1828_23.norm.html	nn_msgermqu2345_1827_23.norm.html	143	8%	12%	10%	"143 (8%) L; 143 (12%) R"	
nn_n0171w1_1828_57.norm.html	nn_msgermqu2345_1827_57.norm.html	139	6%	14%	10%	"139 (6%) L; 139 (14%) R"	
nn_oktavgfeo79_1828_31.norm.html	nn_msgermqu2345_1827_31.norm.html	138	8%	12%	10%	"138 (8%) L; 138 (12%) R"	
nn_n0171w1_1828_49.norm.html	nn_msgermqu2345_1827_49.norm.html	137	11%	9%	10%	"137 (11%) L; 137 (9%) R"	
nn_n0171w1_1828_22.norm.html	nn_msgermqu2345_1827_22.norm.html	135	8%	12%	10%	"135 (8%) L; 135 (12%) R"	
nn_oktavgfeo79_1828_21.norm.html	nn_n0171w1_1828_21.norm.html	133	12%	8%	10%	"133 (12%) L; 133 (8%) R"	
parthey_msgermqu1711_1828_49.norm.html	libelt_hs6623ii_1828_49.norm.html	132	7%	13%	10%	"132 (7%) L; 132 (13%) R"	
parthey_msgermqu1711_1828_18.norm.html	nn_oktavgfeo79_1828_18.norm.html	130	9%	11%	10%	"130 (9%) L; 130 (11%) R"	
nn_oktavgfeo79_1828_10.norm.html	nn_n0171w1_1828_10.norm.html	128	11%	9%	10%	"128 (11%) L; 128 (9%) R"	
nn_n0171w1_1828_58.norm.html	nn_msgermqu2345_1827_58.norm.html	125	5%	15%	10%	"125 (5%) L; 125 (15%) R"	
nn_msgermqu2345_1827_49.norm.html	libelt_hs6623ii_1828_49.norm.html	120	8%	12%	10%	"120 (8%) L; 120 (12%) R"	
nn_oktavgfeo79_1828_16.norm.html	nn_msgermqu2345_1827_16.norm.html	110	8%	12%	10%	"110 (8%) L; 110 (12%) R"	
nn_n0171w1_1828_27.norm.html	nn_msgermqu2345_1827_27.norm.html	102	8%	12%	10%	"102 (8%) L; 102 (12%) R"	
patzig_msgermfol841842_1828_17.norm.html	nn_msgermqu2345_1827_17.norm.html	100	7%	13%	10%	"100 (7%) L; 100 (13%) R"	
parthey_msgermqu1711_1828_58.norm.html	nn_n0171w1_1828_58.norm.html	237	9%	10%	10%	"237 (9%) L; 237 (10%) R"	
nn_oktavgfeo79_1828_48.norm.html	nn_n0171w1_1828_48.norm.html	231	10%	9%	10%	"231 (10%) L; 231 (9%) R"	
parthey_msgermqu1711_1828_50.norm.html	nn_n0171w1_1828_50.norm.html	225	9%	10%	10%	"225 (9%) L; 225 (10%) R"	
parthey_msgermqu1711_1828_51.norm.html	nn_oktavgfeo79_1828_51.norm.html	219	8%	11%	10%	"219 (8%) L; 219 (11%) R"	
parthey_msgermqu1711_1828_24.norm.html	nn_n0171w1_1828_24.norm.html	215	9%	10%	10%	"215 (9%) L; 215 (10%) R"	
nn_oktavgfeo79_1828_41.norm.html	nn_n0171w1_1828_41.norm.html	205	9%	10%	10%	"205 (9%) L; 205 (10%) R"	
nn_oktavgfeo79_1828_50.norm.html	nn_n0171w1_1828_50.norm.html	196	10%	9%	10%	"196 (10%) L; 196 (9%) R"	
nn_oktavgfeo79_1828_28.norm.html	nn_n0171w1_1828_28.norm.html	191	9%	10%	10%	"191 (9%) L; 191 (10%) R"	
patzig_msgermfol841842_1828_42.norm.html	nn_n0171w1_1828_42.norm.html	190	9%	10%	10%	"190 (9%) L; 190 (10%) R"	
nn_n0171w1_1828_42.norm.html	libelt_hs6623ii_1828_42.norm.html	181	10%	9%	10%	"181 (10%) L; 181 (9%) R"	
willisen_humboldt_1827_49.norm.html	parthey_msgermqu1711_1828_49.norm.html	180	9%	10%	10%	"180 (9%) L; 180 (10%) R"	
parthey_msgermqu1711_1828_21.norm.html	nn_n0171w1_1828_21.norm.html	178	8%	11%	10%	"178 (8%) L; 178 (11%) R"	
patzig_msgermfol841842_1828_24.norm.html	nn_n0171w1_1828_24.norm.html	178	11%	8%	10%	"178 (11%) L; 178 (8%) R"	
parthey_msgermqu1711_1828_28.norm.html	nn_msgermqu2345_1827_28.norm.html	174	7%	12%	10%	"174 (7%) L; 174 (12%) R"	
nn_oktavgfeo79_1828_52.norm.html	nn_n0171w1_1828_52.norm.html	171	9%	10%	10%	"171 (9%) L; 171 (10%) R"	
nn_n0171w1_1828_44.norm.html	nn_msgermqu2345_1827_44.norm.html	165	7%	12%	10%	"165 (7%) L; 165 (12%) R"	
parthey_msgermqu1711_1828_24.norm.html	nn_oktavgfeo79_1828_24.norm.html	162	7%	12%	10%	"162 (7%) L; 162 (12%) R"	
nn_n0171w1_1828_28.norm.html	nn_msgermqu2345_1827_28.norm.html	153	8%	11%	10%	"153 (8%) L; 153 (11%) R"	
nn_msgermqu2345_1827_24.norm.html	libelt_hs6623ii_1828_24.norm.html	151	11%	8%	10%	"151 (11%) L; 151 (8%) R"	
parthey_msgermqu1711_1828_21.norm.html	nn_oktavgfeo79_1828_21.norm.html	148	6%	13%	10%	"148 (6%) L; 148 (13%) R"	
patzig_msgermfol841842_1828_18.norm.html	nn_n0171w1_1828_18.norm.html	145	11%	8%	10%	"145 (11%) L; 145 (8%) R"	
nn_n0171w1_1828_45.norm.html	nn_msgermqu2345_1827_45.norm.html	135	6%	13%	10%	"135 (6%) L; 135 (13%) R"	
nn_oktavgfeo79_1828_20.norm.html	nn_n0171w1_1828_20.norm.html	120	11%	8%	10%	"120 (11%) L; 120 (8%) R"	
parthey_msgermqu1711_1828_58.norm.html	nn_msgermqu2345_1827_58.norm.html	119	4%	15%	10%	"119 (4%) L; 119 (15%) R"	
patzig_msgermfol841842_1828_16.norm.html	nn_msgermqu2345_1827_16.norm.html	105	8%	11%	10%	"105 (8%) L; 105 (11%) R"	
nn_oktavgfeo79_1828_43.norm.html	nn_n0171w1_1828_43.norm.html	220	8%	10%	9%	"220 (8%) L; 220 (10%) R"	
parthey_msgermqu1711_1828_50.norm.html	nn_oktavgfeo79_1828_50.norm.html	209	8%	10%	9%	"209 (8%) L; 209 (10%) R"	
nn_n0171w1_1828_24.norm.html	libelt_hs6623ii_1828_24.norm.html	183	9%	9%	9%	"183 (9%) L; 183 (9%) R"	
parthey_msgermqu1711_1828_30.norm.html	nn_n0171w1_1828_30.norm.html	181	7%	11%	9%	"181 (7%) L; 181 (11%) R"	
parthey_msgermqu1711_1828_42.norm.html	nn_msgermqu2345_1827_42.norm.html	170	6%	12%	9%	"170 (6%) L; 170 (12%) R"	
nn_n0171w1_1828_15.norm.html	nn_msgermqu2345_1827_15.norm.html	168	6%	12%	9%	"168 (6%) L; 168 (12%) R"	
patzig_msgermfol841842_1828_21.norm.html	nn_msgermqu2345_1827_21.norm.html	168	10%	8%	9%	"168 (10%) L; 168 (8%) R"	
parthey_msgermqu1711_1828_20.norm.html	nn_n0171w1_1828_20.norm.html	159	8%	10%	9%	"159 (8%) L; 159 (10%) R"	
parthey_msgermqu1711_1828_51.norm.html	nn_n0171w1_1828_51.norm.html	158	6%	12%	9%	"158 (6%) L; 158 (12%) R"	
patzig_msgermfol841842_1828_38.norm.html	nn_n0171w1_1828_38.norm.html	158	8%	10%	9%	"158 (8%) L; 158 (10%) R"	
nn_oktavgfeo79_1828_42.norm.html	nn_msgermqu2345_1827_42.norm.html	152	7%	11%	9%	"152 (7%) L; 152 (11%) R"	
nn_oktavgfeo79_1828_39.norm.html	nn_n0171w1_1828_39.norm.html	151	8%	10%	9%	"151 (8%) L; 151 (10%) R"	
nn_n0171w1_1828_26.norm.html	nn_msgermqu2345_1827_26.norm.html	150	8%	10%	9%	"150 (8%) L; 150 (10%) R"	
patzig_msgermfol841842_1828_21.norm.html	nn_n0171w1_1828_21.norm.html	146	9%	9%	9%	"146 (9%) L; 146 (9%) R"	
nn_n0171w1_1828_60.norm.html	nn_msgermqu2345_1827_60.norm.html	145	5%	13%	9%	"145 (5%) L; 145 (13%) R"	
parthey_msgermqu1711_1828_29.norm.html	nn_n0171w1_1828_29.norm.html	143	7%	11%	9%	"143 (7%) L; 143 (11%) R"	
nn_oktavgfeo79_1828_24.norm.html	libelt_hs6623ii_1828_24.norm.html	142	11%	7%	9%	"142 (11%) L; 142 (7%) R"	
parthey_msgermqu1711_1828_31.norm.html	nn_msgermqu2345_1827_31.norm.html	142	6%	12%	9%	"142 (6%) L; 142 (12%) R"	
patzig_msgermfol841842_1828_15.norm.html	nn_msgermqu2345_1827_15.norm.html	141	8%	10%	9%	"141 (8%) L; 141 (10%) R"	
nn_oktavgfeo79_1828_29.norm.html	nn_n0171w1_1828_29.norm.html	130	8%	10%	9%	"130 (8%) L; 130 (10%) R"	
parthey_msgermqu1711_1828_57.norm.html	nn_msgermqu2345_1827_57.norm.html	129	5%	13%	9%	"129 (5%) L; 129 (13%) R"	
nn_oktavgfeo79_1828_49.norm.html	nn_n0171w1_1828_49.norm.html	126	8%	10%	9%	"126 (8%) L; 126 (10%) R"	
nn_n0171w1_1828_9.norm.html	nn_msgermqu2345_1827_9.norm.html	123	7%	11%	9%	"123 (7%) L; 123 (11%) R"	
willisen_humboldt_1827_49.norm.html	libelt_hs6623ii_1828_49.norm.html	123	6%	12%	9%	"123 (6%) L; 123 (12%) R"	
nn_oktavgfeo79_1828_57.norm.html	nn_msgermqu2345_1827_57.norm.html	121	6%	12%	9%	"121 (6%) L; 121 (12%) R"	
nn_oktavgfeo79_1828_23.norm.html	nn_msgermqu2345_1827_23.norm.html	119	8%	10%	9%	"119 (8%) L; 119 (10%) R"	
parthey_msgermqu1711_1828_42.norm.html	libelt_hs6623ii_1828_42.norm.html	200	7%	10%	9%	"200 (7%) L; 200 (10%) R"	
patzig_msgermfol841842_1828_51.norm.html	nn_oktavgfeo79_1828_51.norm.html	146	10%	7%	9%	"146 (10%) L; 146 (7%) R"	
nn_msgermqu2345_1827_42.norm.html	libelt_hs6623ii_1828_42.norm.html	143	10%	7%	9%	"143 (10%) L; 143 (7%) R"	
willisen_humboldt_1827_49.norm.html	nn_msgermqu2345_1827_49.norm.html	142	7%	10%	9%	"142 (7%) L; 142 (10%) R"	
parthey_msgermqu1711_1828_13.norm.html	nn_msgermqu2345_1827_13.norm.html	141	7%	10%	9%	"141 (7%) L; 141 (10%) R"	
nn_oktavgfeo79_1828_18.norm.html	nn_n0171w1_1828_18.norm.html	125	10%	7%	9%	"125 (10%) L; 125 (7%) R"	
parthey_msgermqu1711_1828_16.norm.html	nn_oktavgfeo79_1828_16.norm.html	125	7%	10%	9%	"125 (7%) L; 125 (10%) R"	
parthey_msgermqu1711_1828_9.norm.html	nn_msgermqu2345_1827_9.norm.html	120	7%	10%	9%	"120 (7%) L; 120 (10%) R"	
nn_oktavgfeo79_1828_29.norm.html	libelt_hs6623ii_1828_29.norm.html	112	7%	10%	9%	"112 (7%) L; 112 (10%) R"	
parthey_msgermqu1711_1828_48.norm.html	nn_oktavgfeo79_1828_48.norm.html	208	8%	9%	9%	"208 (8%) L; 208 (9%) R"	
patzig_msgermfol841842_1828_42.norm.html	libelt_hs6623ii_1828_42.norm.html	183	8%	9%	9%	"183 (8%) L; 183 (9%) R"	
parthey_msgermqu1711_1828_26.norm.html	nn_msgermqu2345_1827_26.norm.html	182	5%	12%	9%	"182 (5%) L; 182 (12%) R"	
patzig_msgermfol841842_1828_59.norm.html	nn_n0171w1_1828_59.norm.html	172	11%	6%	9%	"172 (11%) L; 172 (6%) R"	
nn_oktavgfeo79_1828_38.norm.html	nn_n0171w1_1828_38.norm.html	170	6%	11%	9%	"170 (6%) L; 170 (11%) R"	
nn_oktavgfeo79_1828_42.norm.html	nn_n0171w1_1828_42.norm.html	169	8%	9%	9%	"169 (8%) L; 169 (9%) R"	
parthey_msgermqu1711_1828_13.norm.html	nn_n0171w1_1828_13.norm.html	169	8%	9%	9%	"169 (8%) L; 169 (9%) R"	
parthey_msgermqu1711_1828_39.norm.html	nn_n0171w1_1828_39.norm.html	167	6%	11%	9%	"167 (6%) L; 167 (11%) R"	
patzig_msgermfol841842_1828_51.norm.html	parthey_msgermqu1711_1828_51.norm.html	157	11%	6%	9%	"157 (11%) L; 157 (6%) R"	
nn_oktavgfeo79_1828_25.norm.html	nn_msgermqu2345_1827_25.norm.html	140	11%	6%	9%	"140 (11%) L; 140 (6%) R"	
parthey_msgermqu1711_1828_56.norm.html	nn_msgermqu2345_1827_56.norm.html	133	5%	12%	9%	"133 (5%) L; 133 (12%) R"	
nn_oktavgfeo79_1828_60.norm.html	nn_msgermqu2345_1827_60.norm.html	130	5%	12%	9%	"130 (5%) L; 130 (12%) R"	
parthey_msgermqu1711_1828_28.norm.html	libelt_hs6623ii_1828_28.norm.html	130	5%	12%	9%	"130 (5%) L; 130 (12%) R"	
patzig_msgermfol841842_1828_24.norm.html	nn_msgermqu2345_1827_24.norm.html	128	8%	9%	9%	"128 (8%) L; 128 (9%) R"	
nn_n0171w1_1828_25.norm.html	libelt_hs6623ii_1828_25.norm.html	123	8%	9%	9%	"123 (8%) L; 123 (9%) R"	
patzig_msgermfol841842_1828_51.norm.html	nn_msgermqu2345_1827_51.norm.html	123	8%	9%	9%	"123 (8%) L; 123 (9%) R"	
nn_n0171w1_1828_58.norm.html	libelt_hs6623ii_1828_58.norm.html	116	5%	12%	9%	"116 (5%) L; 116 (12%) R"	
parthey_msgermqu1711_1828_30.norm.html	nn_msgermqu2345_1827_30.norm.html	115	5%	12%	9%	"115 (5%) L; 115 (12%) R"	
patzig_msgermfol841842_1828_17.norm.html	nn_oktavgfeo79_1828_17.norm.html	112	8%	9%	9%	"112 (8%) L; 112 (9%) R"	
nn_oktavgfeo79_1828_40.norm.html	nn_msgermqu2345_1827_40.norm.html	109	6%	11%	9%	"109 (6%) L; 109 (11%) R"	
nn_oktavgfeo79_1828_22.norm.html	nn_msgermqu2345_1827_22.norm.html	105	8%	9%	9%	"105 (8%) L; 105 (9%) R"	
nn_oktavgfeo79_1828_9.norm.html	nn_msgermqu2345_1827_9.norm.html	105	8%	9%	9%	"105 (8%) L; 105 (9%) R"	
nn_n0171w1_1828_18.norm.html	nn_msgermqu2345_1827_18.norm.html	102	5%	12%	9%	"102 (5%) L; 102 (12%) R"	
parthey_msgermqu1711_1828_36.norm.html	nn_oktavgfeo79_1828_36.norm.html	238	9%	7%	8%	"238 (9%) L; 238 (7%) R"	
nn_oktavgfeo79_1828_60.norm.html	nn_n0171w1_1828_60.norm.html	207	8%	8%	8%	"207 (8%) L; 207 (8%) R"	
parthey_msgermqu1711_1828_48.norm.html	nn_n0171w1_1828_48.norm.html	207	8%	8%	8%	"207 (8%) L; 207 (8%) R"	
parthey_msgermqu1711_1828_41.norm.html	nn_n0171w1_1828_41.norm.html	204	6%	10%	8%	"204 (6%) L; 204 (10%) R"	
patzig_msgermfol841842_1828_42.norm.html	parthey_msgermqu1711_1828_42.norm.html	198	9%	7%	8%	"198 (9%) L; 198 (7%) R"	
parthey_msgermqu1711_1828_15.norm.html	nn_n0171w1_1828_15.norm.html	189	9%	7%	8%	"189 (9%) L; 189 (7%) R"	
patzig_msgermfol841842_1828_50.norm.html	nn_n0171w1_1828_50.norm.html	180	8%	8%	8%	"180 (8%) L; 180 (8%) R"	
nn_oktavgfeo79_1828_44.norm.html	nn_n0171w1_1828_44.norm.html	174	9%	7%	8%	"174 (9%) L; 174 (7%) R"	
parthey_msgermqu1711_1828_31.norm.html	nn_oktavgfeo79_1828_31.norm.html	172	7%	9%	8%	"172 (7%) L; 172 (9%) R"	
nn_n0171w1_1828_41.norm.html	libelt_hs6623ii_1828_41.norm.html	171	8%	8%	8%	"171 (8%) L; 171 (8%) R"	
nn_oktavgfeo79_1828_42.norm.html	libelt_hs6623ii_1828_42.norm.html	167	8%	8%	8%	"167 (8%) L; 167 (8%) R"	
patzig_msgermfol841842_1828_42.norm.html	nn_oktavgfeo79_1828_42.norm.html	167	8%	8%	8%	"167 (8%) L; 167 (8%) R"	
parthey_msgermqu1711_1828_22.norm.html	nn_n0171w1_1828_22.norm.html	165	7%	9%	8%	"165 (7%) L; 165 (9%) R"	
patzig_msgermfol841842_1828_46.norm.html	parthey_msgermqu1711_1828_46.norm.html	162	9%	7%	8%	"162 (9%) L; 162 (7%) R"	
nn_oktavgfeo79_1828_50.norm.html	nn_msgermqu2345_1827_50.norm.html	161	8%	8%	8%	"161 (8%) L; 161 (8%) R"	
parthey_msgermqu1711_1828_52.norm.html	nn_n0171w1_1828_52.norm.html	146	8%	8%	8%	"146 (8%) L; 146 (8%) R"	
parthey_msgermqu1711_1828_29.norm.html	nn_oktavgfeo79_1828_29.norm.html	143	7%	9%	8%	"143 (7%) L; 143 (9%) R"	
